course,EX,A,B,C,D,P,F,EX%,A%,B%,C%,D%,P%,F%,session,Avg CGPA
MA60067-,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Spring20,7
MA61004-,0,1,3,6,0,1,0,0,9.09,27.27,54.55,0,9.09,0,Spring21,7.27
MA61004-,0,0,0,0,1,0,0,0,0,0,0,100,0,0,Spring20,6
MA61008-,0,0,3,3,1,0,0,0,0,42.86,42.86,14.29,0,0,Spring20,7.29
MA61008-,0,2,0,0,0,0,0,0,100,0,0,0,0,0,Spring21,9
MA61008-,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Autumn19,7
MA61010-,1,5,6,0,0,0,0,8.33,41.67,50,0,0,0,0,Spring19,8.58
MA61010-,1,3,3,1,0,0,0,12.5,37.5,37.5,12.5,0,0,0,Spring20,8.5
MA61019-,1,1,1,1,0,0,0,25,25,25,25,0,0,0,Autumn19,8.5
MA61023-,0,3,2,0,0,0,0,0,60,40,0,0,0,0,Autumn20,8.6
MA61027-,8,9,5,2,1,2,1,28.57,32.14,17.86,7.14,3.57,7.14,3.57,Autumn20,8.39
MA61027-,4,14,11,6,4,6,0,8.89,31.11,24.44,13.33,8.89,13.33,0,Autumn19,7.78
MA61027-,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Spring20,7
MA61028-,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Spring20,8
MA61046-,0,1,0,1,0,0,0,0,50,0,50,0,0,0,Spring19,8
MA61052-,0,0,1,1,0,0,0,0,0,50,50,0,0,0,Spring21,7.5
MA61061-,4,5,2,0,0,0,0,36.36,45.45,18.18,0,0,0,0,Autumn20,9.18
MA61061-,0,2,5,4,2,3,0,0,12.5,31.25,25,12.5,18.75,0,Autumn19,7.06
MA66005-,1,0,0,0,0,2,0,33.33,0,0,0,0,66.67,0,Spring20,6.67
MA66005-,0,0,0,0,0,1,0,0,0,0,0,0,100,0,Autumn19,5
MA69004-,1,1,0,0,0,0,0,50,50,0,0,0,0,0,Spring19,9.5
MA69004-,2,0,0,0,0,0,0,100,0,0,0,0,0,0,Spring21,10
MA71002-,1,0,0,0,0,0,0,100,0,0,0,0,0,0,Spring21,10
MA71003-,0,0,0,0,0,1,0,0,0,0,0,0,100,0,Autumn19,5
MA71003-,1,0,0,0,0,0,0,100,0,0,0,0,0,0,Autumn20,10
ME10001-MECHANICS,205,90,70,65,60,112,3,33.88,14.88,11.57,10.74,9.92,18.51,0.5,Spring18,7.95
ME10001-MECHANICS,170,147,102,72,52,68,2,27.73,23.98,16.64,11.75,8.48,11.09,0.33,Autumn17,8.16
ME10001-MECHANICS,68,93,111,141,114,145,1,10.1,13.82,16.49,20.95,16.94,21.55,0.15,Spring19,7.14
ME10001-MECHANICS,102,145,150,90,69,114,3,15.16,21.55,22.29,13.37,10.25,16.94,0.45,Autumn18,7.65
ME10001-MECHANICS,69,80,151,150,181,131,0,9.06,10.5,19.82,19.69,23.75,17.19,0,Spring20,7.1
ME10001-MECHANICS,53,79,131,187,133,162,5,7.07,10.53,17.47,24.93,17.73,21.6,0.67,Autumn19,6.97
ME11003-BASIC ENGINEERING MECHANICS,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Autumn19,8
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,24,423,144,12,2,0,0,3.97,69.92,23.8,1.98,0.33,0,0,Autumn17,8.75
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,22,398,167,16,6,3,0,3.59,65.03,27.29,2.61,0.98,0.49,0,Spring18,8.66
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,32,442,180,17,3,2,0,4.73,65.38,26.63,2.51,0.44,0.3,0,Autumn18,8.71
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,22,509,124,7,5,3,0,3.28,75.97,18.51,1.04,0.75,0.45,0,Spring19,8.79
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,35,448,239,34,6,0,0,4.59,58.79,31.36,4.46,0.79,0,0,Autumn19,8.62
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,331,342,57,9,5,2,1,44.31,45.78,7.63,1.2,0.67,0.27,0.13,Spring20,9.31
ME20001-DYNAMICS,8,12,23,49,28,29,1,5.33,8,15.33,32.67,18.67,19.33,0.67,Autumn18,6.88
ME20001-DYNAMICS,9,13,34,47,48,40,2,4.66,6.74,17.62,24.35,24.87,20.73,1.04,Autumn19,6.76
ME20001-DYNAMICS,5,10,24,104,59,9,2,2.35,4.69,11.27,48.83,27.7,4.23,0.94,Autumn20,6.89
ME21004-THERMO-FLUID SCIENCE,6,11,13,5,1,1,0,16.22,29.73,35.14,13.51,2.7,2.7,0,Spring19,8.35
ME21004-THERMO-FLUID SCIENCE,3,6,7,11,12,10,0,6.12,12.24,14.29,22.45,24.49,20.41,0,Spring20,6.92
ME21004-THERMO-FLUID SCIENCE,11,15,18,12,2,0,0,18.97,25.86,31.03,20.69,3.45,0,0,Spring21,8.36
ME21008-KINEMATICS  OF MACHINES,8,9,19,19,43,51,0,5.37,6.04,12.75,12.75,28.86,34.23,0,Spring19,6.44
ME21008-KINEMATICS  OF MACHINES,22,69,83,15,3,0,0,11.46,35.94,43.23,7.81,1.56,0,0,Spring20,8.48
ME21008-KINEMATICS  OF MACHINES,9,41,94,56,13,0,0,4.23,19.25,44.13,26.29,6.1,0,0,Spring21,7.89
ME21010-GEOMETRIC MODELLING FOR DESIGN AND MANUFACTURE,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Spring21,9
ME21101-FLUID MECHANICS,53,49,31,33,27,20,2,24.65,22.79,14.42,15.35,12.56,9.3,0.93,Autumn18,8
ME21101-FLUID MECHANICS,35,67,65,52,12,12,2,14.29,27.35,26.53,21.22,4.9,4.9,0.82,Autumn19,8.07
ME21101-FLUID MECHANICS,42,113,69,26,6,4,2,16.03,43.13,26.34,9.92,2.29,1.53,0.76,Autumn20,8.53
ME21103-MECHANICS OF SOLIDS,6,7,8,6,9,10,0,13.04,15.22,17.39,13.04,19.57,21.74,0,Autumn18,7.24
ME21103-MECHANICS OF SOLIDS,0,3,8,15,19,0,0,0,6.67,17.78,33.33,42.22,0,0,Autumn19,6.89
ME21103-MECHANICS OF SOLIDS,4,11,31,5,1,0,0,7.69,21.15,59.62,9.62,1.92,0,0,Autumn20,8.23
ME22002-THERMODYNAMICS,4,12,20,22,74,140,2,1.46,4.38,7.3,8.03,27.01,51.09,0.73,Spring19,5.89
ME22002-THERMODYNAMICS,26,71,64,80,59,11,1,8.33,22.76,20.51,25.64,18.91,3.53,0.32,Spring20,7.64
ME22002-THERMODYNAMICS,12,121,94,85,28,1,0,3.52,35.48,27.57,24.93,8.21,0.29,0,Spring21,8
ME22004-DYNAMICS OF MACHINES,26,24,18,8,20,15,0,23.42,21.62,16.22,7.21,18.02,13.51,0,Spring20,7.85
ME22004-DYNAMICS OF MACHINES,61,56,24,0,0,0,0,43.26,39.72,17.02,0,0,0,0,Spring21,9.26
ME29002-MECHANISM SESSIONAL,55,63,24,5,1,1,0,36.91,42.28,16.11,3.36,0.67,0.67,0,Spring19,9.09
ME29002-MECHANISM SESSIONAL,49,61,62,14,6,0,0,25.52,31.77,32.29,7.29,3.13,0,0,Spring20,8.69
ME29002-MECHANISM SESSIONAL,44,102,59,8,0,0,0,20.66,47.89,27.7,3.76,0,0,0,Spring21,8.85
ME29701-WORKSHOP PROCESS-II,26,167,40,8,2,0,0,10.7,68.72,16.46,3.29,0.82,0,0,Autumn19,8.85
ME29701-WORKSHOP PROCESS-II,25,108,15,1,0,0,0,16.78,72.48,10.07,0.67,0,0,0,Autumn18,9.05
ME29701-WORKSHOP PROCESS-II,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Autumn20,#DIV/0!
ME30005-HEAT TRANSFER,7,20,25,32,35,26,2,4.76,13.61,17.01,21.77,23.81,17.69,1.36,Autumn19,6.95
ME30005-HEAT TRANSFER,42,83,45,12,1,1,0,22.83,45.11,24.46,6.52,0.54,0.54,0,Autumn20,8.82
ME30602-DESIGN OF MACHINE ELEMENTS,45,26,28,20,14,13,0,30.82,17.81,19.18,13.7,9.59,8.9,0,Spring20,8.2
ME30602-DESIGN OF MACHINE ELEMENTS,52,76,42,12,5,2,0,27.51,40.21,22.22,6.35,2.65,1.06,0,Spring21,8.8
ME30604-MACHINES TOOLS AND MACHINING,34,38,76,27,16,9,0,17,19,38,13.5,8,4.5,0,Spring20,8.1
ME30604-MACHINES TOOLS AND MACHINING,98,132,13,1,1,1,0,39.84,53.66,5.28,0.41,0.41,0.41,0,Spring21,9.31
"ME31007-CASTING, FORMING AND WELDING",9,31,27,34,26,20,1,6.08,20.95,18.24,22.97,17.57,13.51,0.68,Autumn19,7.32
"ME31007-CASTING, FORMING AND WELDING",3,44,98,37,6,0,0,1.6,23.4,52.13,19.68,3.19,0,0,Autumn20,8.01
ME31013-MECHANICS OF SOLIDS,11,15,26,43,28,23,2,7.43,10.14,17.57,29.05,18.92,15.54,1.35,Autumn19,7.06
ME31013-MECHANICS OF SOLIDS,13,45,75,38,9,4,2,6.99,24.19,40.32,20.43,4.84,2.15,1.08,Autumn20,7.97
"ME39007-CASTING, FORMING AND WELDING LAB.",7,54,53,27,5,1,1,4.73,36.49,35.81,18.24,3.38,0.68,0.68,Autumn19,8.16
"ME39007-CASTING, FORMING AND WELDING LAB.",53,102,27,1,2,1,0,28.49,54.84,14.52,0.54,1.08,0.54,0,Autumn20,9.08
ME39013-MECHANICS OF SOLIDS LABORATORY,24,35,35,22,21,7,1,16.55,24.14,24.14,15.17,14.48,4.83,0.69,Autumn19,7.96
ME39013-MECHANICS OF SOLIDS LABORATORY,20,36,51,36,35,8,1,10.7,19.25,27.27,19.25,18.72,4.28,0.53,Autumn20,7.69
ME39602-MACHINE DESIGN PRACTICE,101,14,25,1,3,1,2,68.71,9.52,17.01,0.68,2.04,0.68,1.36,Spring20,9.35
ME39602-MACHINE DESIGN PRACTICE,37,39,50,46,4,12,2,19.47,20.53,26.32,24.21,2.11,6.32,1.05,Spring21,8.08
ME39604-MACHINES TOOLS AND MACHINING LAB.,84,101,10,3,2,0,0,42,50.5,5,1.5,1,0,0,Spring20,9.31
ME39604-MACHINES TOOLS AND MACHINING LAB.,163,82,3,1,0,2,0,64.94,32.67,1.2,0.4,0,0.8,0,Spring21,9.6
ME39606-THERMO FLUIDS LAB. - I,4,22,57,12,15,0,0,3.64,20,51.82,10.91,13.64,0,0,Spring20,7.89
ME39606-THERMO FLUIDS LAB. - I,23,28,62,29,0,0,0,16.2,19.72,43.66,20.42,0,0,0,Spring21,8.32
ME40107-AIR CONDITIONING,5,6,15,4,7,1,0,13.16,15.79,39.47,10.53,18.42,2.63,0,Autumn20,7.87
ME40111-MODERN METHODS OF MANUFACTURING,3,9,7,1,2,0,0,13.64,40.91,31.82,4.55,9.09,0,0,Autumn20,8.45
ME40601-SYSTEMS & CONTROL,10,12,34,40,23,24,0,6.99,8.39,23.78,27.97,16.08,16.78,0,Autumn20,7.12
ME40605-APPLIED ELASTICITY,7,8,11,9,4,1,0,17.5,20,27.5,22.5,10,2.5,0,Autumn20,8.05
ME40701-APPLIED THERMO FLUIDS-II,0,6,47,30,2,2,0,0,6.9,54.02,34.48,2.3,2.3,0,Autumn20,7.61
ME41001-APPLIED THERMO-FLUIDS I,11,21,30,31,11,5,0,10.09,19.27,27.52,28.44,10.09,4.59,0,Spring20,7.77
ME41001-APPLIED THERMO-FLUIDS I,20,22,56,28,13,0,0,14.39,15.83,40.29,20.14,9.35,0,0,Spring21,8.06
ME41613-DESIGN OPTIMISATION,0,7,14,14,5,2,0,0,16.67,33.33,33.33,11.9,4.76,0,Autumn20,7.45
ME47603-PROJECT-I,27,57,26,4,3,2,2,22.31,47.11,21.49,3.31,2.48,1.65,1.65,Autumn20,8.72
ME48602-COMPREHENSIVE VIVA,8,17,23,19,8,1,0,10.53,22.37,30.26,25,10.53,1.32,0,Spring21,7.93
ME48701-SUMMER TRAINING,16,21,7,4,2,0,2,30.77,40.38,13.46,7.69,3.85,0,3.85,Autumn20,8.71
ME49601-THERMO FLUIDS LAB-II,0,7,13,20,6,1,0,0,14.89,27.66,42.55,12.77,2.13,0,Autumn20,7.4
ME49605-DESIGN AND DYNAMICS  LABORATORY,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Autumn20,#DIV/0!
ME60006-,6,3,15,5,2,0,0,19.35,9.68,48.39,16.13,6.45,0,0,Spring21,8.19
ME60011-,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Autumn19,8
ME60012-,9,19,4,4,1,0,0,24.32,51.35,10.81,10.81,2.7,0,0,Spring21,8.84
ME60012-,0,0,0,0,1,0,0,0,0,0,0,100,0,0,Autumn19,6
ME60012-,1,3,1,0,1,0,0,16.67,50,16.67,0,16.67,0,0,Spring20,8.5
ME60014-,4,2,2,0,0,0,0,50,25,25,0,0,0,0,Spring21,9.25
ME60032-,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Spring21,7
ME60033-,10,9,1,0,0,0,0,50,45,5,0,0,0,0,Autumn20,9.45
ME60073-,0,0,1,1,1,0,0,0,0,33.33,33.33,33.33,0,0,Autumn20,7
ME60103-,0,1,1,1,0,1,0,0,25,25,25,0,25,0,Autumn20,7.25
ME60129-,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Autumn20,9
ME60131-,2,1,0,0,0,0,0,66.67,33.33,0,0,0,0,0,Autumn20,9.67
ME60133-,0,0,0,3,2,0,0,0,0,0,60,40,0,0,Autumn20,6.6
ME60134-,3,1,0,0,0,0,0,75,25,0,0,0,0,0,Spring21,9.75
ME60136-,6,4,2,0,0,0,0,50,33.33,16.67,0,0,0,0,Spring21,9.33
ME60223-,0,0,0,1,1,0,0,0,0,0,50,50,0,0,Autumn20,6.5
ME60232-,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Spring21,8
ME60234-,0,3,1,2,2,1,0,0,33.33,11.11,22.22,22.22,11.11,0,Spring21,7.33
ME60236-,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Spring21,8
ME60302-,0,1,1,0,0,0,0,0,50,50,0,0,0,0,Spring21,8.5
ME60302-,0,0,0,1,0,1,0,0,0,0,50,0,50,0,Spring20,6
ME60306-,0,1,1,0,0,0,0,0,50,50,0,0,0,0,Spring21,8.5
ME60309-,0,0,0,0,2,0,0,0,0,0,0,100,0,0,Autumn20,6
ME60310-,0,0,1,1,0,1,0,0,0,33.33,33.33,0,33.33,0,Spring20,6.67
ME60310-,2,0,4,6,13,3,0,7.14,0,14.29,21.43,46.43,10.71,0,Spring21,6.68
ME60323-,1,0,0,0,0,0,0,100,0,0,0,0,0,0,Autumn20,10
ME60350-,0,10,7,3,0,0,1,0,47.62,33.33,14.29,0,0,4.76,Spring21,8.14
ME60352-,17,34,10,1,0,0,0,27.42,54.84,16.13,1.61,0,0,0,Spring21,9.08
ME60353-,2,2,0,0,0,0,0,50,50,0,0,0,0,0,Autumn20,9.5
ME60402-,1,0,0,0,0,0,0,100,0,0,0,0,0,0,Spring21,10
ME60404-,10,18,6,4,0,1,0,25.64,46.15,15.38,10.26,0,2.56,0,Spring21,8.79
ME60407-,0,0,1,0,0,2,0,0,0,33.33,0,0,66.67,0,Autumn19,6
ME60407-,0,2,3,0,0,1,0,0,33.33,50,0,0,16.67,0,Autumn20,7.83
ME60408-,4,10,3,1,0,0,1,21.05,52.63,15.79,5.26,0,0,5.26,Spring21,8.68
ME60414-,3,0,2,2,0,0,0,42.86,0,28.57,28.57,0,0,0,Spring21,8.57
ME60416-,5,26,3,0,0,0,0,14.71,76.47,8.82,0,0,0,0,Spring21,9.06
ME60428-,0,3,0,0,0,0,0,0,100,0,0,0,0,0,Spring21,9
ME60430-,26,55,22,5,3,0,0,23.42,49.55,19.82,4.5,2.7,0,0,Spring21,8.86
ME60432-,2,2,0,0,0,0,0,50,50,0,0,0,0,0,Spring21,9.5
ME61003-,3,6,3,1,0,0,0,23.08,46.15,23.08,7.69,0,0,0,Autumn20,8.85
ME61011-,2,2,0,0,0,0,0,50,50,0,0,0,0,0,Autumn20,9.5
MF30003-ROBOTS AND COMPUTER CONTROLLED MACHINES,34,35,9,2,0,0,0,42.5,43.75,11.25,2.5,0,0,0,Spring21,9.26
MF30003-ROBOTS AND COMPUTER CONTROLLED MACHINES,8,13,9,6,1,0,0,21.62,35.14,24.32,16.22,2.7,0,0,Spring20,8.57
MF30604-NON-TRADITIONAL MANUFACTURING PROCESSES,9,36,30,9,3,4,2,9.68,38.71,32.26,9.68,3.23,4.3,2.15,Spring21,8.2
MF30604-NON-TRADITIONAL MANUFACTURING PROCESSES,0,10,13,5,5,4,0,0,27.03,35.14,13.51,13.51,10.81,0,Spring20,7.54
MF40603-COMPUTER INTEGRATED MANUFACTURING,12,37,5,2,0,0,0,21.43,66.07,8.93,3.57,0,0,0,Autumn20,9.05
MF40604-LASER APPLICATIONS IN MANUFACTURING,9,55,14,9,1,1,1,10,61.11,15.56,10,1.11,1.11,1.11,Spring21,8.61
MF41601-SOFT COMPUTING,40,42,6,1,0,0,0,44.94,47.19,6.74,1.12,0,0,0,Autumn20,9.36
MF41601-SOFT COMPUTING,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Autumn19,8
MF49601-NON TRADITIONAL MANUFACTURING & CIM LAB.,34,16,6,0,0,0,0,60.71,28.57,10.71,0,0,0,0,Autumn20,9.5
MI20101-DEVELOPMENT OF MINERAL DEPOSITS,6,12,19,14,3,6,0,10,20,31.67,23.33,5,10,0,Autumn18,7.77
MI20101-DEVELOPMENT OF MINERAL DEPOSITS,8,11,12,15,10,10,0,12.12,16.67,18.18,22.73,15.15,15.15,0,Autumn19,7.42
MI20101-DEVELOPMENT OF MINERAL DEPOSITS,8,43,19,4,0,1,0,10.67,57.33,25.33,5.33,0,1.33,0,Autumn20,8.69
MI21002-MINE SURVEYING,0,5,7,17,19,12,0,0,8.33,11.67,28.33,31.67,20,0,Spring19,6.57
MI21002-MINE SURVEYING,4,48,13,0,1,0,0,6.06,72.73,19.7,0,1.52,0,0,Spring20,8.82
MI21002-MINE SURVEYING,8,19,23,16,9,0,0,10.67,25.33,30.67,21.33,12,0,0,Spring21,8.01
MI21007-ELEMENTS OF ROCK MECHANICS,2,13,13,19,8,5,0,3.33,21.67,21.67,31.67,13.33,8.33,0,Autumn18,7.45
MI21007-ELEMENTS OF ROCK MECHANICS,3,1,10,14,17,20,1,4.55,1.52,15.15,21.21,25.76,30.3,1.52,Autumn19,6.41
MI21007-ELEMENTS OF ROCK MECHANICS,10,25,25,12,3,0,0,13.33,33.33,33.33,16,4,0,0,Autumn20,8.36
MI29002-MINE SURVEYING LABORATORY,22,26,10,2,0,0,0,36.67,43.33,16.67,3.33,0,0,0,Spring19,9.13
MI29002-MINE SURVEYING LABORATORY,55,10,0,0,0,0,0,84.62,15.38,0,0,0,0,0,Spring20,9.85
MI29002-MINE SURVEYING LABORATORY,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Spring21,#DIV/0!
MI29007-ROCK MECHANICS LABORATORY,19,35,6,0,0,0,0,31.67,58.33,10,0,0,0,0,Autumn18,9.22
MI29007-ROCK MECHANICS LABORATORY,10,24,19,9,1,1,1,15.38,36.92,29.23,13.85,1.54,1.54,1.54,Autumn19,8.4
MI29007-ROCK MECHANICS LABORATORY,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Autumn20,#DIV/0!
MI30013-MINING MACHINERY,0,4,15,20,10,10,0,0,6.78,25.42,33.9,16.95,16.95,0,Autumn19,6.88
MI30013-MINING MACHINERY,6,14,19,15,1,2,1,10.34,24.14,32.76,25.86,1.72,3.45,1.72,Autumn20,7.98
MI31001-UNDERGROUND COAL MINING,5,18,25,9,3,0,0,8.33,30,41.67,15,5,0,0,Autumn19,8.22
MI31001-UNDERGROUND COAL MINING,14,40,7,1,2,0,1,21.54,61.54,10.77,1.54,3.08,0,1.54,Autumn20,8.91
MI31002-MINE HAZARDS AND RESCUE,9,38,10,2,1,0,0,15,63.33,16.67,3.33,1.67,0,0,Spring20,8.87
MI31002-MINE HAZARDS AND RESCUE,10,22,26,5,0,0,0,15.87,34.92,41.27,7.94,0,0,0,Spring21,8.59
MI31003-UNDERGROUND METAL MINING,5,6,17,22,8,2,0,8.33,10,28.33,36.67,13.33,3.33,0,Autumn19,7.53
MI31003-UNDERGROUND METAL MINING,0,8,22,15,15,4,1,0,12.31,33.85,23.08,23.08,6.15,1.54,Autumn20,7.18
MI31004-ECONOMICS OF MINING ENTERPRISES,9,12,15,10,13,1,0,15,20,25,16.67,21.67,1.67,0,Spring20,7.85
MI31004-ECONOMICS OF MINING ENTERPRISES,7,16,21,10,7,0,0,11.48,26.23,34.43,16.39,11.48,0,0,Spring21,8.1
MI31005-VENTILATION AND CLIMATE CONTROL,2,5,13,17,12,10,0,3.39,8.47,22.03,28.81,20.34,16.95,0,Autumn19,6.95
MI31005-VENTILATION AND CLIMATE CONTROL,0,19,29,11,3,0,2,0,29.69,45.31,17.19,4.69,0,3.13,Autumn20,7.91
MI31007-QUANTITATIVE DECISION MAKING,11,13,21,6,5,3,0,18.64,22.03,35.59,10.17,8.47,5.08,0,Autumn19,8.17
MI31007-QUANTITATIVE DECISION MAKING,11,32,11,5,1,2,1,17.46,50.79,17.46,7.94,1.59,3.17,1.59,Autumn20,8.59
MI31008-SURFACE MINING,9,22,19,7,3,0,0,15,36.67,31.67,11.67,5,0,0,Spring20,8.45
MI31008-SURFACE MINING,12,26,11,2,6,7,0,18.75,40.63,17.19,3.13,9.38,10.94,0,Spring21,8.23
MI38002-FIELD TRIPS,4,24,27,2,0,0,0,7.02,42.11,47.37,3.51,0,0,0,Spring20,8.53
MI38002-FIELD TRIPS,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Spring21,#DIV/0!
MI39002-MINE HAZARDS AND RESCUE LABORATORY,4,20,25,7,0,0,0,7.14,35.71,44.64,12.5,0,0,0,Spring20,8.38
MI39002-MINE HAZARDS AND RESCUE LABORATORY,1,47,11,4,0,0,0,1.59,74.6,17.46,6.35,0,0,0,Spring21,8.71
MI39011-VENTILATION LABORATORY,1,7,32,14,2,0,0,1.79,12.5,57.14,25,3.57,0,0,Autumn19,7.84
MI39011-VENTILATION LABORATORY,7,29,19,1,0,0,1,12.28,50.88,33.33,1.75,0,0,1.75,Autumn20,8.67
MI39013-MINING MACHINERY LABORATORY,1,1,10,25,16,4,0,1.75,1.75,17.54,43.86,28.07,7.02,0,Autumn19,6.84
MI39013-MINING MACHINERY LABORATORY,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Autumn20,#DIV/0!
MI40001-ENVIRONMENTAL ENGINEERING,6,29,9,7,3,2,0,10.71,51.79,16.07,12.5,5.36,3.57,0,Autumn20,8.39
MI40004-MINE SAFETY & LEGISLATION,0,4,28,11,15,0,0,0,6.9,48.28,18.97,25.86,0,0,Spring21,7.36
MI40005-NATURAL GAS ENGINEERING,0,0,0,0,2,0,0,0,0,0,0,100,0,0,Spring19,6
MI40005-NATURAL GAS ENGINEERING,0,0,0,0,1,1,0,0,0,0,0,50,50,0,Spring20,5.5
MI40021-APPLIED ROCK ENGINEERING,8,9,10,14,13,6,0,13.33,15,16.67,23.33,21.67,10,0,Spring20,7.45
MI40021-APPLIED ROCK ENGINEERING,6,14,22,21,1,0,0,9.38,21.88,34.38,32.81,1.56,0,0,Spring21,8.05
MI40036-ADVANCED QUANTITATIVE DECISION MAKING,4,6,12,5,6,0,0,12.12,18.18,36.36,15.15,18.18,0,0,Spring21,7.91
MI40039-ELEMENTS OF PETROLEUM ENGINEERING,1,2,1,0,0,0,0,25,50,25,0,0,0,0,Autumn20,9
MI45008-SAFETY ENGINEERING,4,5,5,3,1,0,0,22.22,27.78,27.78,16.67,5.56,0,0,Spring21,8.44
MI47005-PROJECT-I,2,8,18,0,0,1,0,6.9,27.59,62.07,0,0,3.45,0,Autumn20,8.31
MI48001-INDUSTRIAL TRAINING,2,7,3,4,0,0,0,12.5,43.75,18.75,25,0,0,0,Autumn20,8.44
MI48002-COMPREHENSIVE VIVA-VOCE,3,24,16,0,0,0,1,6.82,54.55,36.36,0,0,0,2.27,Spring21,8.59
MI49003-ENVIRONMENTAL ENGG. LAB.,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Autumn20,#DIV/0!
MI50003-RESCUE AND DISASTER MANAGEMENT,2,4,3,0,0,0,0,22.22,44.44,33.33,0,0,0,0,Autumn20,8.89
MI50009-OIL AND GAS WELL TESTING AND ENHANCED OIL RECOVERY,0,0,0,0,0,1,0,0,0,0,0,0,100,0,Autumn18,5
MI50009-OIL AND GAS WELL TESTING AND ENHANCED OIL RECOVERY,1,2,5,1,2,3,0,7.14,14.29,35.71,7.14,14.29,21.43,0,Spring20,7.29
MI60016-,2,0,0,0,0,0,0,100,0,0,0,0,0,0,Autumn20,10
MI60026-,1,7,17,13,5,3,0,2.17,15.22,36.96,28.26,10.87,6.52,0,Spring21,7.5
MI60031-,0,15,4,2,1,0,0,0,68.18,18.18,9.09,4.55,0,0,Autumn20,8.5
MI60032-,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Spring21,7
MI60034-,0,0,0,0,0,1,0,0,0,0,0,0,100,0,Spring19,5
MI60035-,9,21,9,3,2,3,0,19.15,44.68,19.15,6.38,4.26,6.38,0,Spring21,8.49
MI60036-,1,0,0,0,0,0,0,100,0,0,0,0,0,0,Spring21,10
MI60037-,2,2,3,1,1,3,0,16.67,16.67,25,8.33,8.33,25,0,Autumn20,7.5
MI60038-,2,8,12,2,0,0,0,8.33,33.33,50,8.33,0,0,0,Autumn20,8.42
MI60039-,0,1,1,0,0,0,0,0,50,50,0,0,0,0,Autumn20,8.5
MI60041-,4,10,5,1,8,3,0,12.9,32.26,16.13,3.23,25.81,9.68,0,Autumn20,7.74
MI60042-,1,1,10,4,0,0,0,6.25,6.25,62.5,25,0,0,0,Spring21,7.94
MI60045-,4,14,7,9,3,0,0,10.81,37.84,18.92,24.32,8.11,0,0,Spring21,8.19
MI60045-,0,2,0,1,0,0,0,0,66.67,0,33.33,0,0,0,Autumn20,8.33
MI60052-,1,2,0,2,2,0,0,14.29,28.57,0,28.57,28.57,0,0,Spring19,7.71
MI60056-,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Autumn19,7
MI60056-,0,1,0,1,2,0,0,0,25,0,25,50,0,0,Autumn20,7
MI60056-,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Spring20,7
MI60058-,1,0,0,0,0,0,0,100,0,0,0,0,0,0,Spring21,10
MI60072-,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Spring21,8
MI60078-,0,1,0,0,2,0,0,0,33.33,0,0,66.67,0,0,Spring20,7
MI60078-,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Autumn20,9
MI60078-,2,4,0,2,0,0,0,25,50,0,25,0,0,0,Spring21,8.75
MI61003-,9,5,0,2,0,1,0,52.94,29.41,0,11.76,0,5.88,0,Autumn20,9.06
MI61011-,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Spring19,8
MI61011-,2,2,0,0,0,0,0,50,50,0,0,0,0,0,Autumn20,9.5
